date,cases,avg
2020-8-22,2,0.42857142857142855
2020-8-23,0,0.42857142857142855
2020-8-24,0,0.5714285714285714
2020-8-25,1,0.5714285714285714
2020-8-26,0,0.7142857142857143
2020-8-27,1,1.4285714285714286
2020-8-28,0,2.2857142857142856
2020-8-29,3,2.142857142857143
2020-8-30,5,2.4285714285714284
2020-8-31,6,2.4285714285714284
2020-9-1,0,3.142857142857143
2020-9-2,2,3.5714285714285716
2020-9-3,1,3.142857142857143
2020-9-4,5,2.4285714285714284
2020-9-5,6,3.2857142857142856
2020-9-6,2,3.7142857142857144
2020-9-7,1,4.285714285714286
2020-9-8,6,4.714285714285714
2020-9-9,5,4.714285714285714
2020-9-10,5,4.571428571428571
2020-9-11,8,5.428571428571429
2020-9-12,6,5.142857142857143
2020-9-13,1,4.571428571428571
2020-9-14,7,4.285714285714286
2020-9-15,4,3.4285714285714284
2020-9-16,1,2.7142857142857144
2020-9-17,3,2.857142857142857
2020-9-18,2,2.5714285714285716
2020-9-19,1,2.4285714285714284
2020-9-20,2,2.857142857142857
2020-9-21,5,2.4285714285714284
2020-9-22,3,2.5714285714285716
2020-9-23,4,2.7142857142857144
2020-9-24,0,2.4285714285714284
2020-9-25,3,1.8571428571428572
2020-9-26,2,1.5714285714285714
2020-9-27,0,1.2857142857142858
2020-9-28,1,1.4285714285714286
2020-9-29,1,1.0
2020-9-30,2,1.0
2020-10-1,1,1.2857142857142858
2020-10-2,0,1.4285714285714286
2020-10-3,2,1.7142857142857142
2020-10-4,2,1.8571428571428572
2020-10-5,2,2.142857142857143
2020-10-6,3,2.4285714285714284
2020-10-7,3,2.5714285714285716
2020-10-8,3,2.5714285714285716
2020-10-9,2,3.4285714285714284
2020-10-10,3,5.428571428571429
2020-10-11,2,6.428571428571429
2020-10-12,8,8.285714285714286
2020-10-13,17,9.714285714285714
2020-10-14,10,10.0
2020-10-15,16,10.571428571428571
2020-10-16,12,11.714285714285714
2020-10-17,5,11.142857142857142
2020-10-18,6,10.714285714285714
2020-10-19,16,9.285714285714286
2020-10-20,13,8.857142857142858
2020-10-21,7,8.714285714285714
2020-10-22,6,8.285714285714286
2020-10-23,9,6.857142857142857
2020-10-24,4,5.714285714285714
2020-10-25,3,5.428571428571429
2020-10-26,6,5.571428571428571
2020-10-27,5,4.714285714285714
2020-10-28,5,4.285714285714286
2020-10-29,7,5.0
2020-10-30,3,5.285714285714286
2020-10-31,1,5.0
2020-11-1,8,5.142857142857143
2020-11-2,8,4.428571428571429
2020-11-3,3,4.0
2020-11-4,6,3.857142857142857
2020-11-5,2,3.0
2020-11-6,0,2.4285714285714284
2020-11-7,0,2.5714285714285716
2020-11-8,2,2.7142857142857144
2020-11-9,4,2.7142857142857144
2020-11-10,4,3.4285714285714284
2020-11-11,7,4.285714285714286
2020-11-12,2,4.571428571428571
2020-11-13,5,5.285714285714286
2020-11-14,6,5.142857142857143
2020-11-15,4,5.142857142857143
2020-11-16,9,5.285714285714286
2020-11-17,3,5.0
2020-11-18,7,4.857142857142857
2020-11-19,3,4.714285714285714
2020-11-20,3,3.857142857142857
2020-11-21,5,3.7142857142857144
2020-11-22,3,3.0
2020-11-23,3,2.5714285714285716
2020-11-24,2,2.4285714285714284
2020-11-25,2,2.0
2020-11-26,0,2.2857142857142856
2020-11-27,2,2.2857142857142856
2020-11-28,2,2.5714285714285716
2020-11-29,5,2.5714285714285716
2020-11-30,3,4.0
2020-12-1,4,4.285714285714286
2020-12-2,2,4.0
2020-12-3,10,3.4285714285714284
2020-12-4,4,4.142857142857143
2020-12-5,0,5.0
2020-12-6,1,5.714285714285714
2020-12-7,8,5.571428571428571
2020-12-8,10,5.857142857142857
2020-12-9,7,6.285714285714286
2020-12-10,9,6.142857142857143
2020-12-11,6,5.857142857142857
2020-12-12,3,5.714285714285714
2020-12-13,0,6.0
2020-12-14,6,5.571428571428571
2020-12-15,9,5.571428571428571
2020-12-16,9,5.571428571428571
2020-12-17,6,6.0
2020-12-18,6,6.0
2020-12-19,3,5.571428571428571
2020-12-20,3,4.714285714285714
2020-12-21,6,4.285714285714286
2020-12-22,6,3.5714285714285716
2020-12-23,3,3.4285714285714284
2020-12-24,3,3.4285714285714284
2020-12-25,1,3.7142857142857144
2020-12-26,2,4.0
2020-12-27,3,4.0
2020-12-28,8,4.285714285714286
2020-12-29,8,4.571428571428571
2020-12-30,3,5.428571428571429
2020-12-31,5,5.428571428571429
2021-1-1,3,7.0
2021-1-2,8,7.857142857142857
2021-1-3,3,9.142857142857142
2021-1-4,19,9.714285714285714
2021-1-5,14,10.285714285714286
2021-1-6,12,10.142857142857142
2021-1-7,9,10.285714285714286
2021-1-8,7,9.285714285714286
2021-1-9,7,9.0
2021-1-10,4,8.571428571428571
2021-1-11,12,8.571428571428571
2021-1-12,12,11.428571428571429
2021-1-13,9,12.428571428571429
2021-1-14,9,12.714285714285714
2021-1-15,27,12.285714285714286
2021-1-16,14,15.0
2021-1-17,6,15.285714285714286
2021-1-18,9,15.0
2021-1-19,31,14.0
2021-1-20,11,14.285714285714286
2021-1-21,7,15.714285714285714
2021-1-22,20,17.428571428571427
2021-1-23,16,14.285714285714286
2021-1-24,16,14.142857142857142
2021-1-25,21,15.0
2021-1-26,9,14.857142857142858
2021-1-27,10,14.0
2021-1-28,13,13.285714285714286
2021-1-29,19,11.714285714285714
2021-1-30,10,11.571428571428571
2021-1-31,11,11.142857142857142
2021-2-1,10,10.428571428571429
2021-2-2,8,9.714285714285714
2021-2-3,7,9.0
2021-2-4,8,8.714285714285714
2021-2-5,14,9.0
2021-2-6,5,9.0
2021-2-7,9,9.0
2021-2-8,12,8.142857142857142
2021-2-9,8,6.571428571428571
2021-2-10,7,6.285714285714286
2021-2-11,2,5.571428571428571
2021-2-12,3,4.571428571428571
2021-2-13,3,4.428571428571429
2021-2-14,4,4.285714285714286
2021-2-15,5,4.142857142857143
2021-2-16,7,4.714285714285714
2021-2-17,6,4.714285714285714
2021-2-18,1,4.571428571428571
2021-2-19,7,4.142857142857143
2021-2-20,3,3.7142857142857144
2021-2-21,3,3.0
2021-2-22,2,3.0
2021-2-23,4,2.5714285714285716
2021-2-24,1,2.142857142857143
2021-2-25,1,1.8571428571428572
2021-2-26,4,2.2857142857142856
2021-2-27,0,1.7142857142857142
2021-2-28,1,2.142857142857143
2021-3-1,5,2.2857142857142856
2021-3-2,0,2.0
2021-3-3,4,2.2857142857142856
2021-3-4,2,2.2857142857142856
2021-3-5,2,1.5714285714285714
2021-3-6,2,1.5714285714285714
2021-3-7,1,1.2857142857142858
2021-3-8,0,1.0
2021-3-9,0,1.1428571428571428
2021-3-10,2,0.8571428571428571
2021-3-11,0,0.7142857142857143
2021-3-12,3,0.7142857142857143
2021-3-13,0,0.7142857142857143
2021-3-14,0,0.7142857142857143
2021-3-15,0,0.7142857142857143
2021-3-16,0,0.5714285714285714
2021-3-17,2,0.5714285714285714
2021-3-18,0,0.7142857142857143
2021-3-19,2,0.7142857142857143
2021-3-20,0,1.0
2021-3-21,1,0.7142857142857143
2021-3-22,0,0.8571428571428571
2021-3-23,2,0.8571428571428571
2021-3-24,0,0.8571428571428571
2021-3-25,1,1.0
2021-3-26,2,1.2857142857142858
2021-3-27,0,1.1428571428571428
2021-3-28,2,1.1428571428571428
2021-3-29,2,1.1428571428571428
2021-3-30,1,1.2857142857142858
2021-3-31,0,1.5714285714285714
2021-4-1,1,1.7142857142857142
2021-4-2,3,1.7142857142857142
2021-4-3,2,1.7142857142857142
2021-4-4,3,1.8571428571428572
2021-4-5,2,2.0
2021-4-6,1,1.8571428571428572
2021-4-7,1,1.5714285714285714
2021-4-8,2,1.2857142857142858
2021-4-9,2,1.1428571428571428
2021-4-10,0,1.2857142857142858
2021-4-11,1,1.2857142857142858
2021-4-12,1,1.2857142857142858
2021-4-13,2,1.1428571428571428
2021-4-14,1,1.5714285714285714
2021-4-15,2,1.7142857142857142
2021-4-16,1,2.5714285714285716
2021-4-17,3,2.2857142857142856
2021-4-18,2,2.4285714285714284
2021-4-19,7,2.7142857142857144
2021-4-20,0,2.857142857142857
2021-4-21,2,2.4285714285714284
2021-4-22,4,2.2857142857142856
2021-4-23,2,1.2857142857142858
2021-4-24,0,1.2857142857142858
2021-4-25,1,1.0
2021-4-26,0,0.42857142857142855
2021-4-27,0,0.7142857142857143
2021-4-28,0,0.8571428571428571
2021-4-29,0,0.7142857142857143
2021-4-30,4,0.7142857142857143
2021-5-1,1,0.7142857142857143
2021-5-2,0,0.8571428571428571
2021-5-3,0,1.0
2021-5-4,0,0.42857142857142855
2021-5-5,1,0.2857142857142857
2021-5-6,1,0.2857142857142857
2021-5-7,0,0.2857142857142857
2021-5-8,0,0.2857142857142857
2021-5-9,0,0.14285714285714285
2021-5-10,0,0.0
2021-5-11,0,0.14285714285714285
2021-5-12,0,0.14285714285714285
2021-5-13,0,0.14285714285714285
2021-5-14,1,0.14285714285714285
2021-5-15,0,0.2857142857142857
2021-5-16,0,0.2857142857142857
2021-5-17,0,0.2857142857142857
2021-5-18,1,0.14285714285714285
2021-5-19,0,0.14285714285714285
2021-5-20,0,0.14285714285714285
2021-5-21,0,0.14285714285714285
2021-5-22,0,0.0
2021-5-23,0,0.0
2021-5-24,0,0.0
2021-5-25,0,0.14285714285714285
2021-5-26,0,0.14285714285714285
2021-5-27,0,0.14285714285714285
2021-5-28,1,0.14285714285714285
2021-5-29,0,0.14285714285714285
2021-5-30,0,0.14285714285714285
2021-5-31,0,0.14285714285714285
2021-6-1,0,0.0
2021-6-2,0,0.0
2021-6-3,0,0.0
2021-6-4,0,0.0
2021-6-5,0,0.0
2021-6-6,0,0.0
2021-6-7,0,0.0
2021-6-8,0,0.14285714285714285
2021-6-9,0,0.14285714285714285
2021-6-10,0,0.14285714285714285
2021-6-11,1,0.14285714285714285
2021-6-12,0,0.14285714285714285
2021-6-13,0,0.14285714285714285
2021-6-14,0,0.14285714285714285
2021-6-15,0,0.0
2021-6-16,0,0.0
2021-6-17,0,0.0
